locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
KL102,Kilifi,16,10,0.242424242424242,0.196078431372549,66,51,Kenya,Eastern Africa
KL102,SPINZ_Lusaka,75,7,0.78125,0.5,96,14,Zambia,Eastern Africa
KL2,Kilifi,8,6,0.121212121212121,0.117647058823529,66,51,Kenya,Eastern Africa
KL25,HOSPITAL 1,7,5,0.333333333333333,0.357142857142857,21,14,South Africa,Southern Africa
KL25,Kilifi,7,5,0.106060606060606,0.0980392156862745,66,51,Kenya,Eastern Africa
KL28,BANN,6,4,0.352941176470588,0.285714285714286,17,14,Nigeria,Western Africa
KL2,Mbagathi,5,4,0.714285714285714,0.666666666666667,7,6,Kenya,Eastern Africa
KL57,BAES,4,3,0.307692307692308,0.333333333333333,13,9,Ethiopia,Eastern Africa
KL112,BAPP,3,3,0.6,0.6,5,5,Pakistan,Southern Asia
KL102,HOSPITAL 1,4,3,0.19047619047619,0.214285714285714,21,14,South Africa,Southern Africa
KL23,Kilifi,3,3,0.0454545454545455,0.0588235294117647,66,51,Kenya,Eastern Africa
KL62,Kilifi,4,3,0.0606060606060606,0.0588235294117647,66,51,Kenya,Eastern Africa
KL15,Kilifi,3,3,0.0454545454545455,0.0588235294117647,66,51,Kenya,Eastern Africa
KL102,BGHOSPITAL 5,5,2,0.833333333333333,0.666666666666667,6,3,South Africa,Southern Africa
KL2,BGHOSPITAL 1,2,2,0.142857142857143,0.285714285714286,14,7,South Africa,Southern Africa
KL149,BGHOSPITAL 1,8,2,0.571428571428571,0.285714285714286,14,7,South Africa,Southern Africa
KL25,BGHOSPITAL 6,2,2,0.5,0.5,4,4,South Africa,Southern Africa
KL108,BAES,5,2,0.384615384615385,0.222222222222222,13,9,Ethiopia,Eastern Africa
KL102,BANN,2,2,0.117647058823529,0.142857142857143,17,14,Nigeria,Western Africa
KL3,HOSPITAL 1,2,2,0.0952380952380952,0.142857142857143,21,14,South Africa,Southern Africa
KL149,HOSPITAL 1,5,2,0.238095238095238,0.142857142857143,21,14,South Africa,Southern Africa
KL3,Kilifi,2,2,0.0303030303030303,0.0392156862745098,66,51,Kenya,Eastern Africa
KL16,Kilifi,2,2,0.0303030303030303,0.0392156862745098,66,51,Kenya,Eastern Africa
KL23,Mbagathi,2,2,0.285714285714286,0.333333333333333,7,6,Kenya,Eastern Africa
KL39,Kilifi,2,2,0.0303030303030303,0.0392156862745098,66,51,Kenya,Eastern Africa
KL105,Kilifi,2,2,0.0303030303030303,0.0392156862745098,66,51,Kenya,Eastern Africa
KL62,MBQueen Elizabeth Central Hospital,2,2,0.25,0.25,8,8,Malawi,Eastern Africa
KL2,MBQueen Elizabeth Central Hospital,2,2,0.25,0.25,8,8,Malawi,Eastern Africa
KL104,MBKilimanjaro Christian Medical Centre,20,2,0.952380952380952,0.666666666666667,21,3,Tanzania,Eastern Africa
KL62,BGHOSPITAL 1,1,1,0.0714285714285714,0.142857142857143,14,7,South Africa,Southern Africa
KL10,BGHOSPITAL 4,1,1,0.2,0.25,5,4,South Africa,Southern Africa
KL102,BGHOSPITAL 1,2,1,0.142857142857143,0.142857142857143,14,7,South Africa,Southern Africa
KL25,BGHOSPITAL 4,1,1,0.2,0.25,5,4,South Africa,Southern Africa
KL25,BGHOSPITAL 2,1,1,0.25,0.333333333333333,4,3,South Africa,Southern Africa
KL149,BGHOSPITAL 6,1,1,0.25,0.25,4,4,South Africa,Southern Africa
KL102,BGHOSPITAL 3,1,1,0.25,0.25,4,4,South Africa,Southern Africa
KL151,BGHOSPITAL 2,2,1,0.5,0.333333333333333,4,3,South Africa,Southern Africa
KL30,BGHOSPITAL 5,1,1,0.166666666666667,0.333333333333333,6,3,South Africa,Southern Africa
KL62,BGHOSPITAL 4,1,1,0.2,0.25,5,4,South Africa,Southern Africa
KL24,BGHOSPITAL 1,1,1,0.0714285714285714,0.142857142857143,14,7,South Africa,Southern Africa
KL125,BGHOSPITAL 2,1,1,0.25,0.333333333333333,4,3,South Africa,Southern Africa
KL30,BGHOSPITAL 3,1,1,0.25,0.25,4,4,South Africa,Southern Africa
KL149,BGHOSPITAL 3,1,1,0.25,0.25,4,4,South Africa,Southern Africa
KL149,BGHOSPITAL 4,2,1,0.4,0.25,5,4,South Africa,Southern Africa
KL39,BGHOSPITAL 3,1,1,0.25,0.25,4,4,South Africa,Southern Africa
KL17,BGHOSPITAL 6,1,1,0.25,0.25,4,4,South Africa,Southern Africa
KL102,BABC,1,1,0.5,0.5,2,2,Bangladesh,Southern Asia
KL64,BABC,1,1,0.5,0.5,2,2,Bangladesh,Southern Asia
KL39,BAES,1,1,0.0769230769230769,0.111111111111111,13,9,Ethiopia,Eastern Africa
KL15,BAES,1,1,0.0769230769230769,0.111111111111111,13,9,Ethiopia,Eastern Africa
KL106,BAES,1,1,0.0769230769230769,0.111111111111111,13,9,Ethiopia,Eastern Africa
KL30,BAES,1,1,0.0769230769230769,0.111111111111111,13,9,Ethiopia,Eastern Africa
KL15,BANK,1,1,0.2,0.25,5,4,Nigeria,Western Africa
KL116,BANK,1,1,0.2,0.25,5,4,Nigeria,Western Africa
KL31,BANK,1,1,0.2,0.25,5,4,Nigeria,Western Africa
KL57,BANK,2,1,0.4,0.25,5,4,Nigeria,Western Africa
KL53,BANN,1,1,0.0588235294117647,0.0714285714285714,17,14,Nigeria,Western Africa
KL48,BANN,1,1,0.0588235294117647,0.0714285714285714,17,14,Nigeria,Western Africa
KL2,BANN,1,1,0.0588235294117647,0.0714285714285714,17,14,Nigeria,Western Africa
KL116,BANN,2,1,0.117647058823529,0.0714285714285714,17,14,Nigeria,Western Africa
KL155,BANN,1,1,0.0588235294117647,0.0714285714285714,17,14,Nigeria,Western Africa
KL39,BANN,1,1,0.0588235294117647,0.0714285714285714,17,14,Nigeria,Western Africa
KL23,BANN,1,1,0.0588235294117647,0.0714285714285714,17,14,Nigeria,Western Africa
KL108,BANN,1,1,0.0588235294117647,0.0714285714285714,17,14,Nigeria,Western Africa
KL18,BAPP,1,1,0.2,0.2,5,5,Pakistan,Southern Asia
KL136,BAPP,1,1,0.2,0.2,5,5,Pakistan,Southern Asia
KL2,BARK,1,1,0.5,0.5,2,2,Rwanda,Eastern Africa
KL102,BARK,1,1,0.5,0.5,2,2,Rwanda,Eastern Africa
KL9,BAZAT,1,1,0.25,0.25,4,4,South Africa,Southern Africa
KL122,BAZAT,1,1,0.25,0.25,4,4,South Africa,Southern Africa
KL62,BAZAT,1,1,0.25,0.25,4,4,South Africa,Southern Africa
KL8,BAZAT,1,1,0.25,0.25,4,4,South Africa,Southern Africa
KL23,SPINZ_Lusaka,11,1,0.114583333333333,0.0714285714285714,96,14,Zambia,Eastern Africa
KL39,SPINZ_Lusaka,3,1,0.03125,0.0714285714285714,96,14,Zambia,Eastern Africa
KL38,SPINZ_Lusaka,1,1,0.0104166666666667,0.0714285714285714,96,14,Zambia,Eastern Africa
KL64,SPINZ_Lusaka,1,1,0.0104166666666667,0.0714285714285714,96,14,Zambia,Eastern Africa
KL127,SPINZ_Lusaka,3,1,0.03125,0.0714285714285714,96,14,Zambia,Eastern Africa
KL54,SPINZ_Lusaka,1,1,0.0104166666666667,0.0714285714285714,96,14,Zambia,Eastern Africa
KL24,SPINZ_Lusaka,1,1,0.0104166666666667,0.0714285714285714,96,14,Zambia,Eastern Africa
KL2,HOSPITAL 1,1,1,0.0476190476190476,0.0714285714285714,21,14,South Africa,Southern Africa
KL62,HOSPITAL 1,2,1,0.0952380952380952,0.0714285714285714,21,14,South Africa,Southern Africa
KL122,Kilifi,3,1,0.0454545454545455,0.0196078431372549,66,51,Kenya,Eastern Africa
KL24,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL118,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL2,Kiambu sub-County Hospital,3,1,0.25,0.5,12,2,Kenya,Eastern Africa
KL20,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL157,Kiambu sub-County Hospital,9,1,0.75,0.5,12,2,Kenya,Eastern Africa
KL30,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL46,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL109,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL9,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL18,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL104,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL43,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL110,Kilifi,1,1,0.0151515151515152,0.0196078431372549,66,51,Kenya,Eastern Africa
KL19,Kilifi,3,1,0.0454545454545455,0.0196078431372549,66,51,Kenya,Eastern Africa
KL112,AIDH2,1,1,0.0625,0.125,16,8,India,Southern Asia
KL145,AIDH2,3,1,0.1875,0.125,16,8,India,Southern Asia
KL10,AIDH2,1,1,0.0625,0.125,16,8,India,Southern Asia
KL15,AIDH2,4,1,0.25,0.125,16,8,India,Southern Asia
KL51,AIDH2,2,1,0.125,0.125,16,8,India,Southern Asia
KL104,AIDH2,2,1,0.125,0.125,16,8,India,Southern Asia
KL9,AIDH2,1,1,0.0625,0.125,16,8,India,Southern Asia
